巻	式名	式順	条	新条文名	項
5	斎宮	1	1	定斎王	1
5	斎宮	1	2	祓料	1
5	斎宮	1	3	祓禊	1
5	斎宮	1	4	木綿賢木	1
5	斎宮	1	5	忌詞	1
5	斎宮	1	6	河頭祓	1
5	斎宮	1	7	河頭祓料	1
5	斎宮	1	8	初斎院祓清料	1
5	斎宮	1	9	初斎院大殿祭	1
5	斎宮	1	10	忌火等祭	1
5	斎宮	1	11	庭火祭	1
5	斎宮	1	12	解除料	1
5	斎宮	1	13	臨時祓料	1
5	斎宮	1	14	初斎院装束	1
5	斎宮	1	15	別当以下員	1
5	斎宮	1	16	食法	1
5	斎宮	1	17	鎮野宮地祭	1
5	斎宮	1	18	造野宮畢祓料	1
5	斎宮	1	19	野宮河頭禊	1
5	斎宮	1	20	野宮河頭禊祓料	1
5	斎宮	1	21	野宮祓清料	1
5	斎宮	1	22	野宮祈年祭	1
5	斎宮	1	23	月次祭	1
5	斎宮	1	24	月次祭大殿祭	1
5	斎宮	1	25	御贖料	1
5	斎宮	1	26	大祓	1
5	斎宮	1	27	鎮火祭	1
5	斎宮	1	28	道饗祭	1
5	斎宮	1	29	野宮新嘗祭	1
5	斎宮	1	30	野宮供新嘗料	1
5	斎宮	1	31	新嘗祭大殿祭	1
5	斎宮	1	32	主神司月料	1
5	斎宮	1	33	鎮炊殿祭	1
5	斎宮	1	34	忌火庭火祭	1
5	斎宮	1	35	卜戸座火炬	1
5	斎宮	1	36	野宮装束	1
5	斎宮	1	37	野宮年料供物	7
5	斎宮	1	38	野宮月料	1
5	斎宮	1	39	正月三節料	1
5	斎宮	1	40	五月節	1
5	斎宮	1	41	七月節	1
5	斎宮	1	42	斎終行事	1
5	斎宮	1	43	造備雑物	7
5	斎宮	1	44	御馬	1
5	斎宮	1	45	潔斎三年	1
5	斎宮	1	46	弁備雑事	1
5	斎宮	1	47	河頭禊	1
5	斎宮	1	48	河頭禊祓料	1
5	斎宮	1	49	大祓使	1
5	斎宮	1	50	朝庭大祓料	1
5	斎宮	1	51	斎宮修理	1
5	斎宮	1	52	勢江州忌	1
5	斎宮	1	53	頓宮	1
5	斎宮	1	54	監送使	3
5	斎宮	1	55	給馬	1
5	斎宮	1	56	神嘗祭使	1
5	斎宮	1	57	斎十八箇日	1
5	斎宮	1	58	発日	1
5	斎宮	1	59	六処堺川	1
5	斎宮	1	60	鎮祓	2
5	斎宮	1	61	祈年祭神	5
5	斎宮	1	62	三時祭禊料	6
5	斎宮	1	63	卜庭神祭	1
5	斎宮	1	64	十月祓料	1
5	斎宮	1	65	新嘗祭	1
5	斎宮	1	66	供新嘗料	7
5	斎宮	1	67	諸司春祭	6
5	斎宮	1	68	大神宮幣	1
5	斎宮	1	69	斎宮諸神幣	1
5	斎宮	1	70	斎宮鋪設等	3
5	斎宮	1	71	年料供物	10
5	斎宮	1	72	月料節料	1
5	斎宮	1	73	元日	1
5	斎宮	1	74	六月	1
5	斎宮	1	75	九月祭	1
5	斎宮	1	76	官人禄	1
5	斎宮	1	77	供田墾田	1
5	斎宮	1	78	調庸雑物	5
5	斎宮	1	79	官人入京	5
5	斎宮	1	80	戸座炬火	1
5	斎宮	1	81	名簿	1
5	斎宮	1	82	最合	1
5	斎宮	1	83	封戸	1
5	斎宮	1	84	神殿勤守	1
5	斎宮	1	85	諸司雑舎	1
5	斎宮	1	86	中重庭	1
5	斎宮	1	87	御膳	1
5	斎宮	1	88	殖樹木	1
5	斎宮	1	89	修理	1
5	斎宮	1	90	雑物注載	1
5	斎宮	1	91	月俸衣服	1
5	斎宮	1	92	秣蒭	1
5	斎宮	1	93	賜宴禄	1
5	斎宮	1	94	殴闘	1
5	斎宮	1	95	密婚	1
5	斎宮	1	96	失火穢	1
5	斎宮	1	97	斎王相代	1
5	斎宮	1	98	納印	1
5	斎宮	1	99	遣使	1
5	斎宮	1	100	給雑物	1
