変換前	変換後
近衛	<orgName sameAs="#近衛府">近衛</orgName>
衛門	<orgName sameAs="#衛門府">衛門</orgName>
兵衛	<orgName sameAs="#兵衛府">兵衛</orgName>
省	<orgName sameAs="#省">省</orgName>
職	<orgName sameAs="#職">職</orgName>
寮	<orgName sameAs="#寮">寮</orgName>
衛府	<orgName sameAs="#衛府">衛府</orgName>
