変換前	変換後
馬寮	<orgName sameAs="#馬寮">馬寮</orgName>
左馬	<orgName sameAs="#馬寮">左馬</orgName>
右馬	<orgName sameAs="#馬寮">右馬</orgName>
近衛府	<orgName sameAs="#近衛府">近衛府</orgName>
右近衛	<orgName sameAs="#近衛府">右近衛</orgName>
衛門府	<orgName sameAs="#衛門府">衛門府</orgName>
右衛門	<orgName sameAs="#衛門府">右衛門</orgName>
兵衛府	<orgName sameAs="#兵衛府">兵衛府</orgName>
右兵衛	<orgName sameAs="#兵衛府">右兵衛</orgName>
京職	<orgName sameAs="#京職">京職</orgName>
市司	<orgName sameAs="#市司">市司</orgName>
