巻	式名	式順	条	新条文名	項
39	内膳	2	1	春日春祭	1
39	内膳	2	2	大原野祭	1
39	内膳	2	3	月日春祭	1
39	内膳	2	4	園神祭	1
39	内膳	2	5	諸祭雑菜	1
39	内膳	2	6	神今食	1
39	内膳	2	7	新嘗夜料	1
39	内膳	2	8	新嘗解斎	1
39	内膳	2	9	新嘗豊楽	1
39	内膳	2	10	新嘗中宮豊楽	1
39	内膳	2	11	御斎会料	1
39	内膳	2	12	盂蘭盆料	1
39	内膳	2	13	正月三節	1
39	内膳	2	14	元二三日料	1
39	内膳	2	15	三四五月料	1
39	内膳	2	16	五月五日	1
39	内膳	2	17	七月七日	1
39	内膳	2	18	九月九日	1
39	内膳	2	19	供御月料	5
39	内膳	2	20	供御日料	1
39	内膳	2	21	七八九十月料	1
39	内膳	2	22	荷葉	1
39	内膳	2	23	年料	14
39	内膳	2	24	供御料雑器	3
39	内膳	2	25	帷料	1
39	内膳	2	26	標緋幡	1
39	内膳	2	27	造粉熟料	1
39	内膳	2	28	供奉雑菜	3
39	内膳	2	29	年中七節料	1
39	内膳	2	30	山科園早瓜	1
39	内膳	2	31	年料雑菜	1
39	内膳	2	32	量雑菜	1
39	内膳	2	33	行幸雑菜	1
39	内膳	2	34	漬年料雑菜	4
39	内膳	2	35	楡皮	1
39	内膳	2	36	山城大和	1
39	内膳	2	37	造雑味塩魚	1
39	内膳	2	38	造雑魚鮨	1
39	内膳	2	39	造醤鮒	1
39	内膳	2	40	諸国貢進御贄	2
39	内膳	2	41	淡路国御贄	1
39	内膳	2	42	年料御贄	9
39	内膳	2	43	山城国江御贄	1
39	内膳	2	44	氷魚網代	1
39	内膳	2	45	参河国保夜	1
39	内膳	2	46	伊豆国貢進	1
39	内膳	2	47	御厨御贄	1
39	内膳	2	48	青槲干槲	1
39	内膳	2	49	木盤	1
39	内膳	2	50	木器土器	1
39	内膳	2	51	膳部	1
39	内膳	2	52	仕丁	1
39	内膳	2	53	江網曳御厨	1
39	内膳	2	54	筑摩長	1
39	内膳	2	55	膳部労	1
39	内膳	2	56	膳部不仕	1
39	内膳	2	57	作園牛	1
39	内膳	2	58	営園仕丁	1
39	内膳	2	59	川船	1
39	内膳	2	60	園地	1
39	内膳	2	61	雑果樹	1
39	内膳	2	62	芹水䓗田	1
39	内膳	2	63	耕種園圃	24
