巻	式名	式順	条	新条文名	項
36	主殿	1	1	春祭料	1
36	主殿	1	2	釈奠料	1
36	主殿	1	3	鎮魂料	1
36	主殿	1	4	園韓神祭料	1
36	主殿	1	5	賀茂祭料	1
36	主殿	1	6	松尾祭料	1
36	主殿	1	7	新嘗供奉料	1
36	主殿	1	8	御斎会料	1
36	主殿	1	9	御修法料	1
36	主殿	1	10	大元帥法料	1
36	主殿	1	11	諸寺年料油	1
36	主殿	1	12	諸司年料油	1
36	主殿	1	13	諸祭節会油	1
36	主殿	1	14	供御胡麻油	1
36	主殿	1	15	中男作物雑油	1
36	主殿	1	16	別納油	1
36	主殿	1	17	収油直丁	1
36	主殿	1	18	年中御薪	1
36	主殿	1	19	御輿	1
36	主殿	1	20	供奉年料	1
36	主殿	1	21	三年一請	1
36	主殿	1	22	寮家年料	1
36	主殿	1	23	毎日早朝	1
36	主殿	1	24	正月元日	1
36	主殿	1	25	五月五日	1
36	主殿	1	26	十二月晦夜	1
36	主殿	1	27	晦夜晩頭	1
36	主殿	1	28	車駕行幸	1
36	主殿	1	29	燈楼	1
36	主殿	1	30	班幔	1
36	主殿	1	31	火炬	1
36	主殿	1	32	諸司炭松	1
36	主殿	1	33	今良月粮	1
