巻	式名	式順	条	新条文名	項
29	刑部	1	1	盗取仏像	1
29	刑部	1	2	僧尼犯罪	1
29	刑部	1	3	訴訟人	1
29	刑部	1	4	勘事	1
29	刑部	1	5	五位以上犯罪	1
29	刑部	1	6	流罪以下	1
29	刑部	1	7	流移罪人	1
29	刑部	1	8	格式立制	1
29	刑部	1	9	柵戸逃亡	1
29	刑部	1	10	私鋳銭	1
29	刑部	1	11	会赦	1
29	刑部	1	12	会赦即免	1
29	刑部	1	13	無罪合免	1
29	刑部	1	14	告罪名	1
29	刑部	1	15	罪人尫弱	1
29	刑部	1	16	不進罪人位記	1
29	刑部	1	17	毀罪人位記	1
29	刑部	1	18	遠近	1
29	刑部	1	19	決死囚	1
29	刑部	1	20	決罪	1
29	刑部	1	21	徒罪以上	1
29	刑部	1	22	徒人年限	1
29	刑部	1	23	罪人勘籍	1
29	刑部	1	24	未発遣	1
29	刑部	1	25	罪人逃亡	1
29	刑部	1	26	獄囚衣粮	1
29	刑部	1	27	売児	1
29	刑部	1	28	良賤判	1
29	刑部	1	29	贖罪無銅	1
29	刑部	1	30	贖銅銭	1
29	刑部	1	31	因事相喚	1
29	刑部	1	32	諸司治務	1
29	刑部	1	33	大臣薨	1
