巻	式名	式順	条	新条文名	項
23	民部下	1	1	祭雑物	1
23	民部下	1	2	神主禰宜祝	1
23	民部下	1	3	仏事	1
23	民部下	1	4	延暦寺	1
23	民部下	1	5	炭	1
23	民部下	1	6	供御	1
23	民部下	1	7	仰畿内	1
23	民部下	1	8	造箭	1
23	民部下	1	9	諸司雑具	1
23	民部下	1	10	用正税	1
23	民部下	1	11	義倉	1
23	民部下	1	12	穀倉院納穀	1
23	民部下	1	13	畿内調帳	1
23	民部下	1	14	正税帳	1
23	民部下	1	15	計帳	1
23	民部下	1	16	損益	1
23	民部下	1	17	不得勘会	1
23	民部下	1	18	隠首括出	1
23	民部下	1	19	大帳	1
23	民部下	1	20	四度使付帳	1
23	民部下	1	21	拘留返抄	1
23	民部下	1	22	地子帳	1
23	民部下	1	23	公文結解	1
23	民部下	1	24	承知	1
23	民部下	1	25	免除符	1
23	民部下	1	26	省奉行	1
23	民部下	1	27	銅鉛返抄	1
23	民部下	1	28	綱領	1
23	民部下	1	29	内酒殿等料	1
23	民部下	1	30	雑米	1
23	民部下	1	31	院家借物	1
23	民部下	1	32	廩院	1
23	民部下	1	33	勘出免除	1
23	民部下	1	34	減直	1
23	民部下	1	35	作大字	1
23	民部下	1	36	蕃客儲料	1
23	民部下	1	37	薬師寺会料	1
23	民部下	1	38	郡司戸	1
23	民部下	1	39	在路飢病	1
23	民部下	1	40	新任国司	1
23	民部下	1	41	大祓馬	1
23	民部下	1	42	広瀬竜田贄	1
23	民部下	1	43	大宰仕丁	1
23	民部下	1	44	国司赴任	1
23	民部下	1	45	諸国進馬革	1
23	民部下	1	46	兵庫用度帳	1
23	民部下	1	47	諸司移二寮	1
23	民部下	1	48	勘解由使	1
23	民部下	1	49	年料舂米	1
23	民部下	1	50	舂米運京	1
23	民部下	1	51	年料租舂米	1
23	民部下	1	52	年料別納租穀	1
23	民部下	1	53	年料別貢雑物	1
23	民部下	1	54	大宰調物	1
23	民部下	1	55	大宰調絹	1
23	民部下	1	56	大宰調糸	1
23	民部下	1	57	大宰年料雑器	1
23	民部下	1	58	貢蘇番次	1
23	民部下	1	59	諸国貢蘇	1
23	民部下	1	60	年料雑器	1
23	民部下	1	61	交易雑器	1
23	民部下	1	62	未進	1
23	民部下	1	63	交易雑物	1
23	民部下	1	64	雑交易	1
23	民部下	1	65	当年充進	1
23	民部下	1	66	雑交易未進	1
23	民部下	1	67	未進帳	1
23	民部下	1	68	郡司功過帳	1
23	民部下	1	69	勅旨交易	1
