巻	式名	式順	条	新条文名	項
22	民部上	1	1	畿内	1
22	民部上	1	2	東海道	1
22	民部上	1	3	東山道	1
22	民部上	1	4	北陸道	1
22	民部上	1	5	山陰道	1
22	民部上	1	6	山陽道	1
22	民部上	1	7	南海道	1
22	民部上	1	8	西海道	1
22	民部上	1	9	辺要	1
22	民部上	1	10	郡戸	1
22	民部上	1	11	郡里名	1
22	民部上	1	12	貢限	1
22	民部上	1	13	未進調庸物	1
22	民部上	1	14	調庸米塩	1
22	民部上	1	15	絹絁尺寸	1
22	民部上	1	16	練糸	1
22	民部上	1	17	損益	1
22	民部上	1	18	調庸専当	1
22	民部上	1	19	畿内調物	1
22	民部上	1	20	運脚	1
22	民部上	1	21	貢調庸使	1
22	民部上	1	22	調庸専当郡司	1
22	民部上	1	23	勘納調庸物	1
22	民部上	1	24	調庸違期郡司	1
22	民部上	1	25	畿内四度使	1
22	民部上	1	26	不得差使	1
22	民部上	1	27	志摩国使	1
22	民部上	1	28	諸蕃国司	1
22	民部上	1	29	四度使還国	1
22	民部上	1	30	請暇文	1
22	民部上	1	31	貢調使公文	1
22	民部上	1	32	朝集使還国	1
22	民部上	1	33	奥羽朝集使	1
22	民部上	1	34	佐渡国大帳	1
22	民部上	1	35	雑掌勘申	1
22	民部上	1	36	戸損	1
22	民部上	1	37	国栖	1
22	民部上	1	38	駅子	1
22	民部上	1	39	渡子	1
22	民部上	1	40	守辰丁	1
22	民部上	1	41	免父課役	1
22	民部上	1	42	勲九等	1
22	民部上	1	43	朝集雑掌	1
22	民部上	1	44	諸国鼓生	1
22	民部上	1	45	健児	1
22	民部上	1	46	斎宮守衛	1
22	民部上	1	47	飛騨匠丁	1
22	民部上	1	48	役中死	1
22	民部上	1	49	客作児	1
22	民部上	1	50	膂力婦女	1
22	民部上	1	51	食封	1
22	民部上	1	52	封戸定数	1
22	民部上	1	53	封戸三分	1
22	民部上	1	54	中宮封	1
22	民部上	1	55	中宮封租	1
22	民部上	1	56	職封	1
22	民部上	1	57	別勅封	1
22	民部上	1	58	食封収給	1
22	民部上	1	59	功封伝子	1
22	民部上	1	60	官丁	1
22	民部上	1	61	仕丁	1
22	民部上	1	62	女丁	1
22	民部上	1	63	神寺封丁	1
22	民部上	1	64	馬寮仕丁	1
22	民部上	1	65	仕丁逃死	1
22	民部上	1	66	養物	1
22	民部上	1	67	給商布綿	1
22	民部上	1	68	給公粮	1
22	民部上	1	69	遭喪	1
22	民部上	1	70	匠丁還郷	1
22	民部上	1	71	重病	1
22	民部上	1	72	斎宮仕丁	1
22	民部上	1	73	充副丁	1
22	民部上	1	74	停給事力	1
22	民部上	1	75	堀江寺	1
22	民部上	1	76	鼓吹丁	1
22	民部上	1	77	賜徭丁	1
22	民部上	1	78	芸掃	1
22	民部上	1	79	晦掃丁	1
22	民部上	1	80	太政官掃丁	1
22	民部上	1	81	大学寮掃丁	1
22	民部上	1	82	造籍	1
22	民部上	1	83	籍書紙	1
22	民部上	1	84	五位造籍	1
22	民部上	1	85	蔭子孫	1
22	民部上	1	86	八位嫡子	1
22	民部上	1	87	勘籍	1
22	民部上	1	88	雑色人勘籍	1
22	民部上	1	89	勘籍不合	1
22	民部上	1	90	入色	1
22	民部上	1	91	得度	1
22	民部上	1	92	勘籍徒	1
22	民部上	1	93	入色課役	1
22	民部上	1	94	雑色人数	1
22	民部上	1	95	破除	1
22	民部上	1	96	官田	1
22	民部上	1	97	位田本地	1
22	民部上	1	98	外五位位田	1
22	民部上	1	99	位田二分	1
22	民部上	1	100	不置位田	1
22	民部上	1	101	賜田	1
22	民部上	1	102	位田薨卒	1
22	民部上	1	103	品田	1
22	民部上	1	104	乗田	1
22	民部上	1	105	御体御卜	1
22	民部上	1	106	品位田帳	1
22	民部上	1	107	無主品位田	1
22	民部上	1	108	無主職田	1
22	民部上	1	109	藺田	1
22	民部上	1	110	遥授国司	1
22	民部上	1	111	巫田	1
22	民部上	1	112	日置田	1
22	民部上	1	113	養田	1
22	民部上	1	114	放生田	1
22	民部上	1	115	惸独	1
22	民部上	1	116	博士職田	1
22	民部上	1	117	志摩国司	1
22	民部上	1	118	甲斐牧監	1
22	民部上	1	119	権任郡司	1
22	民部上	1	120	府掌職田	1
22	民部上	1	121	佐渡国	1
22	民部上	1	122	校田	1
22	民部上	1	123	班田	1
22	民部上	1	124	校田授口帳	1
22	民部上	1	125	校田返帳	1
22	民部上	1	126	授口返帳	1
22	民部上	1	127	田九歩	1
22	民部上	1	128	荒田	1
22	民部上	1	129	班田目録	1
22	民部上	1	130	陸田班授	1
22	民部上	1	131	志摩口分田	1
22	民部上	1	132	流移人	1
22	民部上	1	133	墾田	1
22	民部上	1	134	廃池	1
22	民部上	1	135	公水	1
22	民部上	1	136	口分田崩埋	1
22	民部上	1	137	水旱災蝗	1
22	民部上	1	138	西海道墾田	1
22	民部上	1	139	国営田	1
22	民部上	1	140	国営田地子米	1
22	民部上	1	141	供御料	1
22	民部上	1	142	御酒米	1
22	民部上	1	143	新嘗酒米	1
22	民部上	1	144	正月三節酒	1
