巻	式名	式順	条	新条文名	項
11	太政官	1	1	庶務	1
11	太政官	1	2	庶務申官	1
11	太政官	1	3	申政	1
11	太政官	1	4	時刻	1
11	太政官	1	5	朝堂政	1
11	太政官	1	6	諸司諸国申政	1
11	太政官	1	7	受事	1
11	太政官	1	8	弁官牒式	6
11	太政官	1	9	少納言牒式	5
11	太政官	1	10	任僧綱	2
11	太政官	1	11	内外印	1
11	太政官	1	12	請印文	1
11	太政官	1	13	請内印文	1
11	太政官	1	14	外記検察	1
11	太政官	1	15	省符	1
11	太政官	1	16	免除	1
11	太政官	1	17	新任国司食伝	1
11	太政官	1	18	神宮司	1
11	太政官	1	19	籤符	1
11	太政官	1	20	二員秩満	1
11	太政官	1	21	京官遷畿内	1
11	太政官	1	22	遷任	1
11	太政官	1	23	遙授兼任	1
11	太政官	1	24	権一分相譲	1
11	太政官	1	25	受業解文	1
11	太政官	1	26	籤符印	1
11	太政官	1	27	改印	1
11	太政官	1	28	毀内印	1
11	太政官	1	29	改造印	1
11	太政官	1	30	上日	1
11	太政官	1	31	史生解由	1
11	太政官	1	32	解由程限	1
11	太政官	1	33	押署	1
11	太政官	1	34	雑米未進	1
11	太政官	1	35	交替延期	1
11	太政官	1	36	還替	1
11	太政官	1	37	未勘知	1
11	太政官	1	38	遁避不署	1
11	太政官	1	39	諸寺別当年﨟	1
11	太政官	1	40	惣用帳	1
11	太政官	1	41	宿直	1
11	太政官	1	42	日蝕	1
11	太政官	1	43	国忌	1
11	太政官	1	44	附駅	1
11	太政官	1	45	差使	1
11	太政官	1	46	遣和泉使	1
11	太政官	1	47	遣諸国使	1
11	太政官	1	48	賑給百姓	1
11	太政官	1	49	賑給使	1
11	太政官	1	50	未納	1
11	太政官	1	51	蕃客	1
11	太政官	1	52	報書条	1
11	太政官	1	53	出納条	1
11	太政官	1	54	登庫検校	1
11	太政官	1	55	雑物下符	1
11	太政官	1	56	社寺借物	1
11	太政官	1	57	諸司当色	1
11	太政官	1	58	進薪	1
11	太政官	1	59	拝除	1
11	太政官	1	60	召使任官	1
11	太政官	1	61	三省史生	1
11	太政官	1	62	内記史生	1
11	太政官	1	63	鎮守権任	1
11	太政官	1	64	祈年班幣	1
11	太政官	1	65	春日祭	1
11	太政官	1	66	大原野祭	1
11	太政官	1	67	薗韓神祭	1
11	太政官	1	68	祭所行事	1
11	太政官	1	69	大忌風神	1
11	太政官	1	70	松尾祭	1
11	太政官	1	71	平野祭	1
11	太政官	1	72	賀茂祭	1
11	太政官	1	73	御体卜	1
11	太政官	1	74	月次祭	1
11	太政官	1	75	大祓	1
11	太政官	1	76	伊勢使	1
11	太政官	1	77	鎮魂新嘗	1
11	太政官	1	78	祭祀日	1
11	太政官	1	79	神事諸司	1
11	太政官	1	80	平野祭見参	1
11	太政官	1	81	会参上日条	1
11	太政官	1	82	興福寺	1
11	太政官	1	83	外記史不列	1
11	太政官	1	84	釈奠	1
11	太政官	1	85	大嘗祭	7
11	太政官	1	86	践祚大嘗年	1
11	太政官	1	87	定斎王	2
11	太政官	1	88	斎王向伊勢	1
11	太政官	1	89	賀茂斎王	1
11	太政官	1	90	仁王会	1
11	太政官	1	91	告朔	1
11	太政官	1	92	諸節会	1
11	太政官	1	93	朝賀	1
11	太政官	1	94	元宴	1
11	太政官	1	95	正月七日	1
11	太政官	1	96	任官	1
11	太政官	1	97	御斎会	1
11	太政官	1	98	正月十六日	1
11	太政官	1	99	大射	1
11	太政官	1	100	二季読経	1
11	太政官	1	101	五月五日	1
11	太政官	1	102	負馬	1
11	太政官	1	103	相撲	1
11	太政官	1	104	盆供	1
11	太政官	1	105	九月九日	1
11	太政官	1	106	禄目録	1
11	太政官	1	107	非侍従見参	1
11	太政官	1	108	俘囚夾名	1
11	太政官	1	109	節会見参	1
11	太政官	1	110	山陵幣	1
11	太政官	1	111	追儺	1
11	太政官	1	112	行幸経旬	7
11	太政官	1	113	季禄	1
11	太政官	1	114	諸王時服	1
11	太政官	1	115	女官時服	1
11	太政官	1	116	諸司時服	1
11	太政官	1	117	位禄	1
11	太政官	1	118	馬料	1
11	太政官	1	119	月料要劇大粮	1
11	太政官	1	120	紙筆	1
11	太政官	1	121	官年料	1
11	太政官	1	122	充座	1
11	太政官	1	123	考定	8
11	太政官	1	124	禄法	1
11	太政官	1	125	諸司考文	1
11	太政官	1	126	諸国考文	1
11	太政官	1	127	列見	1
11	太政官	1	128	擬階	1
11	太政官	1	129	位記請印	1
11	太政官	1	130	位記召給	1
11	太政官	1	131	任郡司	1
11	太政官	1	132	出雲国造	1
11	太政官	1	133	新暦	1
11	太政官	1	134	鼓吹	1
11	太政官	1	135	断罪文	1
11	太政官	1	136	四度公文	1
11	太政官	1	137	調庸帳	1
11	太政官	1	138	四度使	1
11	太政官	1	139	公文進官	1
11	太政官	1	140	公文下省	1
11	太政官	1	141	文殿雑書	1
11	太政官	1	142	厨家	1
11	太政官	1	143	造館舎	1
11	太政官	1	144	文殿公文	1
11	太政官	1	145	厨家別当	1
11	太政官	1	146	例進地子	1
11	太政官	1	147	拘留返抄	1
11	太政官	1	148	薬分稲	1
11	太政官	1	149	施薬院別当	1
11	太政官	1	150	薨卒	1
11	太政官	1	151	勘籍	1
11	太政官	1	152	年終帳	1
11	太政官	1	153	校書内豎	1
11	太政官	1	154	奏事諸	1
11	太政官	1	155	葬官	1
