巻	式名	式順	条	新条文名	項
25	主計下	1	1	勘大帳	1
25	主計下	1	2	損益	1
25	主計下	1	3	大帳返帳	1
25	主計下	1	4	隠首括出	1
25	主計下	1	5	戸口増益	1
25	主計下	1	6	損田	1
25	主計下	1	7	大帳後死	1
25	主計下	1	8	調庸帳	1
25	主計下	1	9	大宰管内	1
25	主計下	1	10	勘会	1
25	主計下	1	11	未進	1
25	主計下	1	12	陵戸帳	1
25	主計下	1	13	賀茂祭料	1
25	主計下	1	14	秣料	1
25	主計下	1	15	牧田地子	1
25	主計下	1	16	檜皮瓦料	1
25	主計下	1	17	斎宮調庸雑物	1
25	主計下	1	18	造酒用途帳	1
25	主計下	1	19	出納諸司	1
25	主計下	1	20	義倉	1
25	主計下	1	21	損戸	1
25	主計下	1	22	死丁	1
25	主計下	1	23	言上疫死	1
25	主計下	1	24	綱領	1
25	主計下	1	25	顛納	1
25	主計下	1	26	調帳損益	1
25	主計下	1	27	調銭帳	1
25	主計下	1	28	畿内調銭	1
25	主計下	1	29	鋳銭銅鉛	1
25	主計下	1	30	鋳銭司	1
25	主計下	1	31	勅旨交易	1
25	主計下	1	32	桑漆帳	1
25	主計下	1	33	帳除	1
25	主計下	1	34	失文	1
25	主計下	1	35	勘公文	1
25	主計下	1	36	人物数	1
25	主計下	1	37	大帳	9
