巻	式名	式順	条	新条文名	項
41	弾正	1	1	台弾人	1
41	弾正	1	2	糺弾不当	1
41	弾正	1	3	弾正得不得	1
41	弾正	1	4	弾親王	1
41	弾正	1	5	弾大納言以下	1
41	弾正	1	6	弾参議已上	1
41	弾正	1	7	威儀進退	1
41	弾正	1	8	三位已上	1
41	弾正	1	9	奏弾事	1
41	弾正	1	10	官司枉判	1
41	弾正	1	11	弾官人	1
41	弾正	1	12	就台版位	1
41	弾正	1	13	尹有犯	1
41	弾正	1	14	入朝堂	1
41	弾正	1	15	開門時	1
41	弾正	1	16	親王就庁座	1
41	弾正	1	17	申政太政官	1
41	弾正	1	18	諸堂官人道	1
41	弾正	1	19	官政未竟	1
41	弾正	1	20	開門以後就座	1
41	弾正	1	21	未閉門下去	1
41	弾正	1	22	京官五位已上	1
41	弾正	1	23	空朝座	1
41	弾正	1	24	朝庭容儀	1
41	弾正	1	25	致敬礼	1
41	弾正	1	26	親王等答拝	1
41	弾正	1	27	路遇親王	1
41	弾正	1	28	下馬	1
41	弾正	1	29	無位孫王	1
41	弾正	1	30	元正	1
41	弾正	1	31	朝拝	1
41	弾正	1	32	正月十五日	1
41	弾正	1	33	釈奠	1
41	弾正	1	34	二季大祓	1
41	弾正	1	35	京中巡察	1
41	弾正	1	36	巡検日	1
41	弾正	1	37	非違汚穢	1
41	弾正	1	38	調宿処	1
41	弾正	1	39	位禄季禄	1
41	弾正	1	40	不得権任	1
41	弾正	1	41	召式部省	1
41	弾正	1	42	立制宣旨	1
41	弾正	1	43	宮中諸司廻	1
41	弾正	1	44	八省院廻	1
41	弾正	1	45	運出穢物	1
41	弾正	1	46	不得充別当	1
41	弾正	1	47	臨時別勅	1
41	弾正	1	48	牙笏木笏	1
41	弾正	1	49	衣服食物	1
41	弾正	1	50	朝庭儀式	1
41	弾正	1	51	衣袖口闊	1
41	弾正	1	52	不得著羅	1
41	弾正	1	53	衣服色	1
41	弾正	1	54	婦人衣服色	1
41	弾正	1	55	朝服色	1
41	弾正	1	56	庶人以上	1
41	弾正	1	57	綾	1
41	弾正	1	58	五位以上女	1
41	弾正	1	59	紵布衣	1
41	弾正	1	60	揩染成文	1
41	弾正	1	61	浅杉染袴	1
41	弾正	1	62	錦衣	1
41	弾正	1	63	鈍紫裙	1
41	弾正	1	64	蘇芳色	1
41	弾正	1	65	衛府舎人刀緒	1
41	弾正	1	66	囚獄司物部	1
41	弾正	1	67	諸禁色	1
41	弾正	1	68	支子染色	1
41	弾正	1	69	滅紫色	1
41	弾正	1	70	赤白橡袍	1
41	弾正	1	71	公私奴婢服	1
41	弾正	1	72	車馬従服色	1
41	弾正	1	73	染袴	1
41	弾正	1	74	金銀薄泥	1
41	弾正	1	75	純素金銀	1
41	弾正	1	76	縹色藍揩	1
41	弾正	1	77	画餝大刀	1
41	弾正	1	78	刻鏤大刀	1
41	弾正	1	79	刀子刃長	1
41	弾正	1	80	象牙櫛	1
41	弾正	1	81	虎皮豹皮	1
41	弾正	1	82	白玉腰帯	1
41	弾正	1	83	紀伊石帯隠文	1
41	弾正	1	84	烏犀帯	1
41	弾正	1	85	魚袋	1
41	弾正	1	86	鞍褥	1
41	弾正	1	87	鞍鞦総	1
41	弾正	1	88	緋鞦	1
41	弾正	1	89	貂裘	1
41	弾正	1	90	羆皮障泥	1
41	弾正	1	91	金銀装車屋形	1
41	弾正	1	92	糸葺庇車	1
41	弾正	1	93	車屋形裏	1
41	弾正	1	94	車馬従	1
