巻	式名	式順	条	条文名	項
10	神名下	1	1	東山道	1
10	神名下	1	2	近江国	13
10	神名下	1	3	美濃国	11
10	神名下	1	4	飛騨国	3
10	神名下	1	5	信濃国	11
10	神名下	1	6	上野国	8
10	神名下	1	7	下野国	6
10	神名下	1	8	陸奥国	32
10	神名下	1	9	出羽国	5
10	神名下	1	10	北陸道	1
10	神名下	1	11	若狭国	4
10	神名下	1	12	越前国	7
10	神名下	1	13	加賀国	5
10	神名下	1	14	能登国	5
10	神名下	1	15	越中国	5
10	神名下	1	16	越後国	8
10	神名下	1	17	佐渡国	4
10	神名下	1	18	山陰道	1
10	神名下	1	19	丹波国	7
10	神名下	1	20	丹後国	6
10	神名下	1	21	但馬国	9
10	神名下	1	22	因幡国	7
10	神名下	1	23	伯耆国	4
10	神名下	1	24	出雲国	11
10	神名下	1	25	石見国	6
10	神名下	1	26	隠伎国	5
10	神名下	1	27	山陽道	1
10	神名下	1	28	播磨国	12
10	神名下	1	29	美作国	4
10	神名下	1	30	備前国	8
10	神名下	1	31	備中国	7
10	神名下	1	32	備後国	14
10	神名下	1	33	安芸国	3
10	神名下	1	34	周防国	5
10	神名下	1	35	長門国	2
10	神名下	1	36	南海道	1
10	神名下	1	37	紀伊国	6
10	神名下	1	38	淡路国	3
10	神名下	1	39	阿波国	8
10	神名下	1	40	讃岐国	11
10	神名下	1	41	伊予国	9
10	神名下	1	42	土左国	7
10	神名下	1	43	西海道	1
10	神名下	1	44	筑前国	9
10	神名下	1	45	筑後国	3
10	神名下	1	46	豊前国	3
10	神名下	1	47	豊後国	5
10	神名下	1	48	肥前国	4
10	神名下	1	49	肥後国	3
10	神名下	1	50	日向国	4
10	神名下	1	51	大隅国	4
10	神名下	1	52	薩摩国	3
10	神名下	1	53	壱伎島	3
10	神名下	1	54	対馬島	3
